paisresidencia,genero,rangoedad,cantidad,transporte,parking,parkingrelpreciocal,dispcarritos,checkintiempespera,checkineficiencia,checkincortesia,ctrlpastiempoespera,ctrlpascortesia,segcortesia,segmeticulosidad,segtiempoespera,segsensacionprot,orientsenalizacion,orientpantallainfo,oientdistancia,orientfacilidconexion,instalcortesia,instalrestaurant,instalrestaurantrelpreciocal,instaldispbancoatm,instaltiendas,instaltiendasrelpreciocal,instalinternetwifi,instalsalasvip,instalbanosdisp,instalbanoslimpieza,instalcomodidadzonaespera,installimpiezageneral,instalambiente,satisfacciongeneral,controlpasaportes,rapidesentregaequipaje,controladuanero
Extranjero,Femenino,22 a 25,22,2.818,0.318,0.364,1.818,3.591,3.727,3.591,3.182,3.500,3.273,3.364,3.636,4.136,4.273,4.182,4.227,0.318,3.818,2.227,1.955,1.500,2.000,2.182,4.273,0.409,3.727,3.864,4.000,4.500,4.045,4.000,2.636,2.409,2.455
Extranjero,Femenino,26 a 34,61,2.984,0.246,0.230,1.852,3.131,3.295,3.426,3.426,3.705,3.820,3.672,3.984,3.869,3.754,4.000,4.016,0.115,3.738,2.197,2.131,1.787,1.852,1.672,3.770,0.607,3.672,3.787,3.557,4.098,4.098,3.918,2.721,2.672,2.557
Extranjero,Femenino,35 a 44,45,2.756,0.600,0.467,2.089,3.222,3.511,3.467,3.689,3.511,3.533,3.244,3.644,3.556,3.689,4.044,4.022,0.244,3.778,2.178,2.067,1.600,2.244,2.044,3.000,0.733,3.489,3.444,3.311,3.800,3.956,3.756,3.000,2.889,2.711
Extranjero,Femenino,45 a 54,32,2.438,0.344,0.469,1.906,3.281,3.438,3.594,3.688,3.656,3.781,3.406,3.656,3.719,3.969,3.938,3.688,0.313,3.625,1.938,1.969,1.844,1.781,1.719,3.688,0.531,3.438,3.344,3.563,3.781,3.813,3.750,3.344,3.406,3.156
Extranjero,Femenino,55 a 64,27,2.222,0.296,0.259,1.704,2.963,3.037,2.963,3.407,3.667,3.963,3.926,3.852,3.963,3.778,3.852,3.815,0.593,4.037,2.370,2.000,1.630,1.889,1.259,2.963,0.593,3.593,3.519,3.593,3.704,3.481,3.852,1.815,1.259,1.370
Extranjero,Femenino,65 a 75,9,2.444,0.000,0.000,2.778,3.444,3.333,3.222,3.222,3.222,4.222,3.778,3.556,3.778,4.333,4.000,4.000,0.333,3.889,3.222,3.222,2.111,1.667,0.667,1.667,0.000,2.444,2.667,3.667,4.444,4.444,3.889,2.889,2.889,2.556
Extranjero,Femenino,76 o mas,2,3.000,0.000,0.000,3.000,2.500,5.000,5.000,5.000,2.500,2.500,2.500,2.500,5.000,5.000,5.000,5.000,0.000,2.500,4.000,4.000,2.500,0.500,0.000,4.500,0.000,1.500,1.500,1.500,4.000,4.000,4.000,0.000,0.000,0.000
Extranjero,Masculino,16 a 21,14,2.857,1.143,1.000,2.071,3.357,3.357,3.429,3.571,3.786,4.143,4.143,4.214,3.714,4.500,4.214,4.143,0.643,4.214,3.714,3.143,1.500,2.071,2.000,2.857,1.286,4.286,3.857,4.143,4.571,4.500,4.143,2.571,2.857,3.357
Extranjero,Masculino,22 a 25,16,2.000,0.375,0.375,2.125,2.875,3.000,3.000,3.750,3.938,3.813,3.750,3.875,3.875,3.688,4.000,3.688,1.500,3.938,3.000,2.688,2.750,2.375,2.375,3.188,1.000,3.750,3.813,3.438,4.063,4.125,3.750,4.000,3.000,2.813
Extranjero,Masculino,26 a 34,62,2.468,0.516,0.452,2.032,3.000,3.226,3.323,3.661,3.823,3.629,3.435,3.887,3.677,3.661,3.774,3.806,0.468,3.790,2.597,2.129,1.694,2.032,1.629,3.548,0.742,3.677,3.516,3.532,3.919,3.903,3.710,2.742,2.516,2.419
Extranjero,Masculino,35 a 44,41,2.585,0.390,0.390,2.293,3.366,3.390,3.488,3.293,3.512,3.537,3.341,3.439,3.537,3.561,3.537,3.390,0.561,3.341,2.683,2.366,2.585,2.659,2.317,3.317,1.195,3.537,3.634,3.610,3.829,3.805,3.780,3.049,2.707,2.829
Extranjero,Masculino,45 a 54,26,2.808,0.769,0.769,2.538,2.423,3.000,2.808,3.154,3.423,3.654,3.577,3.385,3.385,3.538,3.808,3.500,0.269,3.538,3.038,2.577,1.923,2.231,1.731,2.923,1.385,3.731,3.808,3.538,4.038,4.000,3.885,2.769,2.731,2.500
Extranjero,Masculino,55 a 64,42,2.810,0.429,0.429,2.286,2.667,3.024,3.119,3.357,3.571,3.690,3.429,3.690,3.595,3.786,3.786,3.571,0.262,3.952,3.024,2.548,1.976,2.286,1.810,3.119,1.333,3.667,3.595,3.905,3.929,4.024,3.952,2.905,2.548,2.810
Extranjero,Masculino,65 a 75,15,1.800,0.400,0.600,1.867,3.200,3.667,3.533,3.400,3.867,3.667,3.933,3.667,4.200,3.400,3.400,3.733,0.933,3.200,2.467,2.067,1.667,1.867,1.600,3.133,1.133,4.067,4.133,3.667,4.067,4.067,3.733,2.400,2.800,2.533
Extranjero,Masculino,76 o mas,2,2.500,0.000,0.000,2.500,2.000,2.500,2.500,5.000,4.500,4.500,4.500,4.500,5.000,5.000,5.000,4.500,2.500,4.500,2.500,2.500,0.000,2.500,2.500,2.500,0.000,5.000,2.500,5.000,5.000,4.500,4.500,2.500,2.500,2.500
No informado, , ,2,2.000,0.000,0.000,4.500,2.000,2.000,2.000,2.000,2.000,2.500,2.500,5.000,5.000,5.000,5.000,2.500,0.000,2.000,2.000,2.000,4.500,2.500,2.000,4.500,2.000,4.000,2.500,4.000,4.000,4.000,2.000,2.000,2.000,2.000
No informado, ,16 a 21,1,3.000,0.000,2.000,1.000,2.000,2.000,5.000,0.000,0.000,5.000,4.000,4.000,4.000,4.000,4.000,3.000,0.000,4.000,2.000,2.000,0.000,0.000,1.000,0.000,0.000,4.000,4.000,4.000,5.000,5.000,3.000,5.000,2.000,2.000
No informado, ,65 a 75,2,4.000,0.000,0.000,4.500,2.500,2.500,2.000,4.000,5.000,2.000,2.000,4.000,4.500,4.500,2.000,4.500,0.000,4.500,4.500,2.500,2.000,2.000,2.000,4.500,0.000,5.000,5.000,4.500,4.500,4.500,2.500,2.500,2.500,2.500
No informado,Femenino,35 a 44,2,1.500,0.000,0.000,0.000,4.000,2.000,2.000,2.000,2.000,4.000,4.500,4.000,4.500,4.000,4.500,3.500,1.000,4.500,4.000,4.000,0.000,1.500,1.000,0.000,0.000,1.500,1.500,3.500,3.500,3.500,3.500,2.000,1.500,2.000
No informado,Femenino,55 a 64,2,2.500,0.000,0.000,3.500,3.500,2.000,4.000,4.000,3.500,4.000,2.000,1.000,3.500,3.000,2.500,3.500,2.000,3.000,2.500,2.000,3.000,1.500,0.000,3.500,1.500,4.000,3.500,3.500,4.500,4.500,2.000,0.000,0.500,1.000
No informado,Masculino,26 a 34,2,2.500,0.000,0.000,3.500,5.000,5.000,5.000,2.500,2.500,3.000,5.000,5.000,5.000,5.000,5.000,5.000,2.500,5.000,5.000,3.500,2.500,5.000,3.500,5.000,2.500,5.000,5.000,5.000,5.000,2.500,4.500,0.000,2.000,2.500
No informado,Masculino,35 a 44,5,0.000,0.000,0.000,2.400,3.400,3.400,3.400,3.600,3.600,3.200,3.200,3.200,3.200,4.000,3.800,2.800,3.400,3.800,3.400,3.000,1.600,2.400,2.200,3.200,0.000,4.000,4.400,4.000,4.200,4.400,4.400,3.400,2.600,2.800
No informado,Masculino,55 a 64,2,4.000,0.000,0.000,0.000,2.000,3.500,3.500,3.000,2.000,4.000,3.500,3.500,3.500,3.500,3.500,3.500,0.000,4.500,3.500,3.500,1.500,3.500,3.000,2.000,2.000,4.000,4.000,3.500,3.500,3.500,3.500,3.000,0.000,1.500
